"title","body","labels","assignees","milestone","state","state_reason"
"Latest things 17.1->","Maybe even best try to prompt new WeathetSysyrm library strictly to from scratch to fully utilize ZonesCore library and take ideas but not full implementations from non-working library","","","","notStarted",""
"Latest things 17.1->","WeatherSystem StartRegionWeatherInternal uses regions, but in ZonesCore we determine RECTS ======= ALSO; that or many other functions dont fetch ZoneData","","","","notStarted",""
"Latest things 17.1->","WeatherSystem: weird registering from ZonesCore - but atleast Rain then worked with manual test function - but apperantly not across all set WeatherRects - only the first region register got the weather","","","","notStarted",""
"Latest things 17.1->","BIG FKING NOTE: testing twilight grove - noticed that there was not weather rect set so thats why it set weather only on the first ""enterRegion""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","","","","notStarted",""
"Latest things 17.1->","TEST: main map how weather works","","","","notStarted",""
"Latest things 17.1->","ZoneEvent: edit debug message to be Zones -> ZoneEvent","","","","completed",""
"Latest things 17.1->","DynamicMinimap: illegal rotation can sometimes be annoying because then player is at the ""edge of camera bounds"" - we must force the minimap+camera bounds update then but first must force rotation to accepted range""","","","","notStarted",""
"Latest things 17.1->","ZonesCore: fog day / fog night need adjusting","","","","notStarted",""
"Latest things 17.1->","ZonesCore: define weathers for zones (ready Twilight, Sereneglade, ...)","","","","notStarted",""
"Latest things 17.1->","ZonesCore: define weather regions for zones (ready Twilight, Sereneglade, ...)","","","","notStarted",""
"Latest things 17.1->","WeatherSystem/Storm: still breaking DNC even if player is not in that zone ?","","","","notStarted",""
"Latest things 17.1->","WeatherSystem: add debug on - note: might have to do some debug limiting to limit the amount of messages?","","","","completed",""
"Latest things 17.1->","WeatherSystem: make test function that will spawn random weather for 60s in defined zone (by chat command: ""ws XXXzone""","","","","completed",""
"Latest things 17.1->","WeatherSystem: add debug messages to relevant places, use function ""Debug"" to print messages","","","","completed",""
"Latest things 17.1->","Storm: Make Storm utilize FogSystem to chance between Storm ""flash"" no fog/black and zone fog","","","","notStarted",""
"Latest things 17.1->","ZoneEvent: disable OnUnitEnterRegion debug msg","","","","notStarted",""
"Latest things 17.1->","WeatherSystem / SnowSystem: SnowSystem was not run / snow ubersplats were not created like in old WeatherSystem","","","","notStarted",""
"Latest things 17.1->","============ Again update following to main map","","","","notStarted",""
"Latest things 17.1->","DNC","","","","completed",""
"Latest things 17.1->","WeatherSystem","","","","completed",""
"Latest things 17.1->","ZoneEvent","","","","completed",""
"Latest things 17.1->","ZonesCore - no changes?","","","","notStarted",""
"Latest things 17.1->","Storm (Storm still has issue - cant figure out how to restore from ""black fog"" DNC taken over","","","","completed",""
"Latest things 17.1->","Weather/Snow: Snow should be spawn in waves - is this implemented only in the GUI triggers or does SnowSystem has it implemented ---- it seems they spawn in waves but there is initial amount of snow that is spawned - better would be that no snow at start","","","","notStarted",""
"Latest things 17.1->","SnowSystem: more gradual snow spawn in waves ==// It seems that WeatherSystem is handling the waves","","","","notStarted",""
"Latest things 17.1->","SnowUnit: can we disable / hide minimap icon for that unit =>>> STATS - Hide Minimap Display","","","","notStarted",""
"Latest things 17.1->","Storm: FOG - what ever storm is doing to create black fog - maybe we should also test that with Zones fogNight? and dark zones like CRYPT","","","","notStarted",""
"Latest things 17.1->","SnowSystem: Snow is not gradually destroyed after the Snow weather - all spawned snow should be removed within 60s or 60-120s?","","","","notStarted",""
"Latest things 17.1->","Debug: instead of always ""if DEBUG then endif"" wouldnt it be better to have the IF statement inside the ""Debug"" function, that way only need to use ""call Debug("""""""""")""","","","","notStarted",""
"Latest things 17.1->","ZoneEvent: ApplyCurrentZoneEffects - it doesnt change fog/DNC, if you enter new zone then FOG/DNC settings are used normally","","","","notStarted",""
"Latest things 17.1->","Storm: make test in storm map to first manually set fog, try esc and again set the fog","","","","notStarted",""
"Latest things 17.1->","Storm: try disable resetTerrainFog","","","","completed",""
"Latest things 17.1->","ZoneEvent: optional api >> apply zone silently, no title text, no music change >> usually we want to indicate when cinema starts that this new zone","","","","notStarted",""
"Latest things 17.1->","Manual fog works, but why doesnt ApplyCurrentZoneEffects  ApplyFog work","","","","notStarted",""
"Latest things 17.1->","Snow: spawn should gradually spawn zone - not immediately","","","","completed",""
"Latest things 17.1->","Snow: gradual remove is not called???","","","","completed",""
"Latest things 17.1->","WeatherSystem: When new weather is started for zone, the old weather might not be stopped />>>> something changed on the way? BTW; This occurs at Sereneglade but not in Twilight Grove -> indexing issue most probably === MOST CRITICAL ISSUE","","","","notStarted",""
"Latest things 17.1->","WeatherSystem: incorrectly sets the weatherState or something because it gets stuck in this mode / OR ApplyFog in ZoneEvent has some faulty logic","","","","notStarted",""
"Latest things 17.1->","/////// regionIndex refers to the index in the RegionRect array, representing a specific region (rect) in the map.","","","","notStarted",""
"Latest things 17.1->","////// zoneIndex refers to the master zone index, representing a logical zone (which may contain multiple regions).","","","","notStarted",""
"Latest things 17.1->","Music: Havenwoods to use Music track 51 (Humanlands03)","","","","notStarted",""
"Latest things 17.1->","WeatherSystem: Thunder was activated by some other weather than ""storm"" ..... YES Heavy rain has chance","","","","completed",""
"Latest things 17.1->","Thunder: set thunder/storm timer call back every 10s","","","","notStarted",""
"Latest things 17.1->","Snow: the amount of snow spawned per each waves MATH should be way more than now its - e.g., in Serenglade big area user cant even see if snow was spawned because so little","","","","notStarted",""
"Latest things 17.1->","Snow: Gradual destroy to be more slower per tick","","","","notStarted",""
"Latest things 17.1->","Snow: actually it seemed that even bigger snowRects get less snow vs. smaller Rects","","","","notStarted",""
"Latest things 17.1->","CRITICAL ISSUE ... = Also storm sound fx works at zone but not the effect - so weird - only testable zone that works correctly is TWILIGHT GROVE (index 1)","","","","notStarted",""
"Latest things 17.1->","1.2.2026: WeatherSystem internal rect registering / indexing problems when multiple weather rects defined per zone","","","","notStarted",""
"Latest things 17.1->","1.2.2026: WeatherSystem some AI modifiaction to fix the cause - this may need to be rolled back..... but need testing","","","","notStarted",""
"Latest things 17.1->","Causes: 1) Rect-to-Region Mapping May Not Be Unique; If the same rect is added as both a weather rect and a snow rect (or appears in multiple zones), it may be registered twice in RegionRect, resulting in multiple region indices for the same rect.","","","","notStarted",""
"Latest things 17.1->","Causes: 2)  Prevent Duplicate Region Registration; In RegisterRegionRectInternal, you already check if a rect is registered (FindRegionIndex(r) != -1). But if the same rect is used for both weather and snow","","","","notStarted",""
"Latest things 17.1->","Causes: 3) StopZoneWeatherInternal and SetZoneWeatherInternal use FindRegionIndex(r) to get a single region index. If a rect is registered more than once, only the first is stopped/started.","","","","notStarted",""
"Latest things 17.1->","Causes: 4) Ensure each rect is only registered once in RegionRect.","","","","notStarted",""
"Latest things 17.1->","Causes: 5)","","","","notStarted",""
"Latest things 17.1->","1.2. ZonesCore - update to main map","","","","notStarted",""
"Latest things 17.1->","1.2 ZoneEvent - debug added to ApplyFog","","","","notStarted",""
"Latest things 17.1->","One issue found; StopRegionWeather vs. StopZoneWeather are different and other is controlled by timer (btw why not 1 and same function why 2?","","","","notStarted",""
"Latest things 17.1->","1.2. WeatherSystem: Now seems to correctly set weather to ""none"" when it ends","","","","notStarted",""
"Latest things 17.1->","1.2 WeatherSystem; if multiple weatherRects are defined, the system does not properly stop all of them, but only the first/main one appreantly - so something in STOP weather function wrong because starting atleast works properly for all watherRects?","","","","notStarted",""
"Latest things 17.1->","4.2 WeatherSystem; root cause of multiple issues; RegisterAllZoneRects - It may be too much for AI (free version atleast) to handle this big change to only properly use ZonesCore data and not copy/duplicate as it now does weirdly..........................","","","","notStarted",""
"Latest things 17.1->","4.2 WeatherSystem; might need to revert to code before Register refactoring...","","","","notStarted",""
"Latest things 17.1->","4.2 WeatherSystem; ISSUE: globals are defined twice!!!!","","","","notStarted",""
"Latest things 17.1->","4.2 WeatherSystem; ISSUE: snow weather is also created on other weatherRects ????? and vice versa?","","","","notStarted",""
"FogSystem","Refactor the current GUI triggers / JASS combination into single Fog library","","","","completed",""
"FogSystem","retain same names, e.g, AddFogForPlayer -functions","","","","completed",""
"FogSystem","Test that it works with Zone system","","","","completed",""
"FogSystem","Check all bugs / things that need to be inside FogSystem Library","","","","completed",""
"FogSystem","Test zone fog levels","","","","completed",""
"FogSystem","This init trigger fog works great: Custom script:   call AddFogForPlayer(400, 3000, 100, 100, 100, Player(0))","","","","completed",""
"FogSystem","Why doesnt Zones calling AddForForPlayer work that great? The fog is not same as with debug command in chat ""fogtest""","","","","completed",""
"FogSystem","test results: Zones is applying wrong fog values (on day without any weather its using FogNight values","","","","completed",""
"FogSystem","REASON: Zones is not using correctly isDay / dayTime ==> This is another GUI system that changes global variable udg_isDay","","","","completed",""
"FogSystem","NEXT: use the "" udg_DNE_Daytime "" boolean in the Zones library - might need it also elsewhere","","","","completed",""
"FogSystem","https://www.hiveworkshop.com/threads/the-floods-fog-system-1-2-1a.182614/","","","","completed",""
"FogSystem","See Bribe's RetroFade library for ideas (in Zinc however)","","","","completed",""
"FogSystem","Use these values as base for zones: This init trigger fog works great: AddFogForPlayer(400, 3000, 100, 100, 100, Player(0)) - main focus on fog[0] start and fog[1] end","","","","notStarted",""
"FogSystem","","","","","notStarted",""
"CreepRespawn","Add levelup special effect to library when creep is respawned (revive / etc.)","","","","notStarted",""
"Storm / WeatherSystem","Storm not properly working for: Checking current zone + Re-applying current zone DNC after the STORM","","","","notStarted",""
"Storm / WeatherSystem","Storm system used old udg_ZoneCurrent stuff that needs heavy modification for Zone system","","","","notStarted",""
"Icons","Big Icon search:","","","","notStarted",""
"Icons","https://www.wowhead.com/icons/name:undead","","","","notStarted",""
"Icons","https://wowpedia.fandom.com/wiki/Wowpedia:Warcraft_III_icons/Icon_list","","","","notStarted",""
"Icons","Upscale them maybe - > Then Resize back to 64x64 or what ever","","","","notStarted",""
"Frames / save and load","Use FrameLoader?","","","","notStarted",""
"Frames / save and load","https://www.hiveworkshop.com/threads/ui-save-load-frames.327849/","","","","notStarted",""
"Talent tree","Icon selection border https://www.hiveworkshop.com/threads/frames-selection-effects.320501/","","","","notStarted",""
"Talent tree","Jass convert? https://www.hiveworkshop.com/threads/classic-talent-trees-v1-2.355929/","","","","notStarted",""
"Talent tree","Help from (see pictures looks wow like) https://www.hiveworkshop.com/threads/spellweavers-talent-kitchen.336629/","","","","notStarted",""
"Talent tree","Use Spellweavers Talent Kitchen","","","","notStarted",""
"Talent tree","Modify to needs (vanilla wow modified simple talent tree)","","","","notStarted",""
"Talent tree","Needs many BTN button textures","","","","notStarted",""
"Talent tree","Needs background texture for each tree","","","","notStarted",""
"Titles / text frame","Is it possible go have text frame created with font aize configurable","","","","completed",""
"Titles / text frame","Search simple examples from Hive","","","","completed",""
"Titles / text frame","Ui designer to create text?","","","","completed",""
"ExMusic","Verify library is ok in test map","","","","completed",""
"ExMusic","Everything works","","","","completed",""
"ExMusic","Update library description","","","","completed",""
"ExMusic","Update to main map","","","","completed",""
"ExMusic","Update global variable names ie. Remove ""ms_""","","","","completed",""
"ExMusic","If user doesnt have the files - play random game music track","","","","completed",""
"ExMusic","Description: local files needs to be enabled","","","","completed",""
"ExMusic","Description: where to put the files","","","","completed",""
"ExMusic","Description: setting path(s) to music files (currently manual work involved writing the path correctly)","","","","completed",""
"CURRENT WORKLIST","WC3 - ZonesLibrary, RegionTitles use, TasQuestBox use, optional quests only to have info, hints, commands, cheats","","","","notStarted",""
"CURRENT WORKLIST","WC3: Player home to be first in ""Zones"" that will change zone/specific text depending where the current Player home is - how displayed so it make sense?","","","","notStarted",""
"CURRENT WORKLIST","Upload to main map: TasQuestBox files (after check size are ok)","","","","completed",""
"CURRENT WORKLIST","Update to main map: Zones.j ","","","","completed",""
"CURRENT WORKLIST","Upload to main map: RegionTitlesLight","","","","completed",""
"CURRENT WORKLIST","Update to main map: TasQuestBoxLight_PotS","","","","completed",""
"CURRENT WORKLIST","See 11.1 changelog for main ""Known issues"" by latest systems","","","","notStarted",""
"CURRENT WORKLIST","DynamicMinimap - camera bounds to be modified and tested: TEST","","","","notStarted",""
"CURRENT WORKLIST","Zones: Test dayNightEvent","","","","notStarted",""
"CURRENT WORKLIST","Disable debug: weather","","","","notStarted",""
"CURRENT WORKLIST","Disable debug: zones","","","","completed",""
"CURRENT WORKLIST","Disable debug: DynamicMinimap","","","","completed",""
"CURRENT WORKLIST","Disable debug; any other?","","","","notStarted",""
"CURRENT WORKLIST","Camera Isometric Locked: add slight offset (-Y) to camera so that Nazgrek is more position is more to the down on screen","","","","completed",""
"CURRENT WORKLIST","Zones: Notable Entities -> Common Entities","","","","completed",""
"CURRENT WORKLIST","Zones: Common Entities list; make all entities in yksikkö eikä monikko","","","","completed",""
"CURRENT WORKLIST","ZonesLog (TasQuestBoxLight): Frame should be hidden with API call from On Cinematic and unhidden from OFF Cinematic === Needs to be implemented, check previous other version for glues","","","","completed",""
"CURRENT WORKLIST","ZonesLog (TasQuestBoxLight): Text should be smaller","","","","notStarted",""
"CURRENT WORKLIST","ZonesLog (TasQuestBoxLight): Text should be in white color","","","","completed",""
"CURRENT WORKLIST","DynamicMinimap: no sound is played when toggled / etc","","","","completed",""
"CURRENT WORKLIST","Destructibles: some destructibles shouldnt ever respawn - e.g., Boom Mine rock chunks ---- to be unregister from DestructibleRevival upon map Init or make separate Library / function for that","","","","notStarted",""
"CURRENT WORKLIST","Torch: Torch item doesnt use new Torch model","","","","notStarted",""
"CURRENT WORKLIST","Torch: new torch models - change model scale in Retera Studio slightly lower","","","","notStarted",""
"CURRENT WORKLIST","In-game lag still exisits in Crypt south area / see also unfinished mid Jungle Troll Area if those doodads cause lag","","","","notStarted",""
"CURRENT WORKLIST","GrumBloodfang / QuestEvalution / QuestIcon system bugged? Why cant talk to Grum","","","","notStarted",""
"Multiboard / stats info","Display player crit, hit, dodge, spell ability points only on Inventory DEquipment frame - currently it only shows the stats that come from items","","","","notStarted",""
"UI stuff","Check https://www.hiveworkshop.com/threads/ui-utils-v1-05.320005/page-2","","","","notStarted",""
"UI stuff","Bars https://www.hiveworkshop.com/threads/health-bars-v1-30.307819/","","","","notStarted",""
"UI stuff","We only want have wow like UI;  buttons on left, hero portait with hp/mana upper left","","","","notStarted",""
"UI stuff","Reserve space for Zulkis and Pet, but have 4 (or 5?) spave for companions (hired or invited) - this us HUGE overhaul of UI","","","","notStarted",""
"UI stuff","Read: https://www.hiveworkshop.com/threads/ui-v1-6.337753/","","","","notStarted",""
"UI stuff","Using UI 1.6 save/load breaks it?","","","","notStarted",""
"UI stuff","What do minimap and other frame modification do when using save and load","","","","notStarted",""
"UI stuff","https://www.hiveworkshop.com/media/warcraft-iii-reforged-custom-ui-youtube.130035/#xfmg-comment-104250","","","","notStarted",""
"UI stuff","Idea MENU: reputation, talents, stats, party etc to be contained with tabs as Frame natives","","","","notStarted",""
"UI stuff","Idea Menu: option to minimize/maximize view","","","","notStarted",""
"UI stuff","Use this and many other UI natives frames guide: https://www.hiveworkshop.com/threads/ui-frames-and-tooltips.316665/#post-3478337","","","","notStarted",""
"LootSystem","Whats status","","","","notStarted",""
"LootSystem","Current LootSystem to jass implememtatiom","","","","notStarted",""
"LootSystem","==> ItemDropSystem with sub libraries is created - need to verify its state (see previous Changelog notes)","","","","notStarted",""
"Jass natives","https://www.hiveworkshop.com/pastebin/5456133e67453a4c86d63b50d1f8bc2e.13710","","","","notStarted",""
"Systems to be used","Knockback: https://www.hiveworkshop.com/threads/gui-knockback-2-5d-v4-2-5-0.203180/","","","","notStarted",""
"Systems to be used","Good list of systems https://www.hiveworkshop.com/threads/in-construction-classification-of-gui-jass-vjass-systems-as-of-today.350925/","","","","notStarted",""
"Systems to be used","BuffSystem (critical for dispel things etc long buffs): https://www.hiveworkshop.com/threads/gui-buff-system-gbs-v-1-43.290324/","","","","notStarted",""
"Systems to be used","MissileSystem: https://www.hiveworkshop.com/threads/relativistic-missiles-vjass-lua-gui.325964/","","","","notStarted",""
"Systems to be used","Knockback example: dummy unit at void portal in vanguard vale with WithinRange function to knockback player and x player units away","","","","notStarted",""
"Systems to be used","FishingSystem https://www.hiveworkshop.com/threads/fishing-system-v1-0.177662/","","","","notStarted",""
"Systems to be used","ShopSystem: https://www.hiveworkshop.com/threads/item-shop-system.348398/","","","","notStarted",""
"Systems to be used","Ui: https://www.hiveworkshop.com/threads/ui-v1-6.337753/","","","","notStarted",""
"ZonesLibrary","All zone triggers combined into one ZonesLibrary","","","","completed",""
"ZonesLibrary","Need to have API to disable zone enter/leave event for particular zone, maybe other public API could be created as well","","","","completed",""
"ZonesLibrary","Todos: check and modify zone descriptions","","","","completed",""
"ZonesLibrary","Todos: check and modify fog settings","","","","completed",""
"ZonesLibrary","Todos: DNC run - maybe create seperate DNC -library","","","","completed",""
"ZonesLibrary","Todos: Add all other zone regions in function ""RegisterZoneRegions""","","","","completed",""
